"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Policy is accepted Managed Legal Entity BPNL","","Mon Oct 27 03:55:52 GMT 2025","passed","Mon Oct 27 03:55:52 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","1","verifyCorrectParticipantAgentId_forDsp2025(DataspaceProfileContextRegistry)","","Mon Oct 27 03:57:16 GMT 2025","passed","Mon Oct 27 03:57:16 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","verifyCorrectParticipantAgentId_forDsp2025"
"","6006","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate()","","Mon Oct 27 03:57:59 GMT 2025","passed","Mon Oct 27 03:58:05 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate"
"","3546","Contract policy is fulfilled MembershipCredential","","Mon Oct 27 03:57:42 GMT 2025","passed","Mon Oct 27 03:57:45 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","8345","transferData_withExpiredEdr_shouldReturn4xx()","","Mon Oct 27 04:01:38 GMT 2025","passed","Mon Oct 27 04:01:46 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","transferData_withExpiredEdr_shouldReturn4xx"
"","221","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","Mon Oct 27 03:56:08 GMT 2025","passed","Mon Oct 27 03:56:09 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpnLegacy_shouldReject"
"","60","Policy is accepted Version Changes","","Mon Oct 27 03:55:50 GMT 2025","passed","Mon Oct 27 03:55:50 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","1663","Policy is accepted MembershipCredential","","Mon Oct 27 03:55:48 GMT 2025","passed","Mon Oct 27 03:55:49 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","181","Expect the Catalog request to fail if a credential is expired","","Mon Oct 27 03:56:58 GMT 2025","passed","Mon Oct 27 03:56:58 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","catalogRequest_whenCredentialExpired"
"","37","Policy is accepted Access policy with empty permission","","Mon Oct 27 03:55:51 GMT 2025","passed","Mon Oct 27 03:55:51 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
